"Sujeito","Grupo","Tempo no fundo","Velocidade","Nado errático","Congelamento","Tempo no branco","Nado errático (2)","Congelamento (2)","Velocidade (2)","Emocionalidade"
"C1","Controle",360.0,3.20034,30.86676,2.0,432.2354,19.93027,23.0,6.259204,0.24098515822864275
"C2","Controle",237.7376,7.390735,19.2904,0.0,738.8562,20.65545,31.0,9.81204,0.23741313040451553
"C3","Controle",212.9158,7.484612,27.07772,0.0,230.9864,21.82982,6.0,10.43214,-0.322740548984021
"C4","Controle",219.7803,6.607445,23.74577,0.0,315.5858,21.28652,10.0,8.652324,-0.32175215094245985
"C5","Controle",331.3258,5.4029,28.49487,0.0,847.2882,21.02206,8.0,7.70362,0.32293256875552007
"C6","Controle",356.84,7.551687,26.5668,0.0,293.6153,22.53346,11.0,8.308101,0.27370842936216655
"C7","Controle",304.0729,5.805704,31.54664,0.0,257.3997,21.48449,10.0,6.934488,0.009861948783382701
"C8","Controle",360.0,1.022049,0.488514,293.0,87.77163,20.458,29.0,10.88449,0.1817346714169038
"C9","Controle",262.515,7.965281,19.2086,0.0,605.4725,19.9521,17.0,8.331346,-0.18893391547945326
"C10","Controle",360.0,2.786894,7.362162,173.0,180.0878,20.88747,25.0,14.40397,0.1533276989798625
"C11","Controle",161.672,8.026679,21.33052,1.0,577.0293,20.26413,20.0,11.65788,-0.29986777953314697
"C12","Controle",330.0764,5.974549,27.47542,0.0,478.6558,18.90295,10.0,9.753454,-0.28666921099191117
"E1","EAC",230.253919,5.103453965,14.2940996,1.0,245.2018,15.3982,335.0,2.214921,-0.6049605002747898
"E2","EAC",281.3,4.830553,16.46087,59.0,589.5922,21.82511,161.0,6.9813,0.6929087705279492
"E3","EAC",183.0679,6.267773,25.99088,0.0,392.7037,15.12917,221.0,4.731416,-0.3438448254128487
"E4","EAC",360.0,7.506482,22.33736,43.0,255.2513,20.48206,15.0,7.627831,0.2165227515432928
"E5","EAC",341.0475,5.787206,30.32239,0.0,377.31,19.26701,8.0,7.626104,0.14880081631126066
"E6","EAC",273.2345,5.716994,23.43988,0.0,595.2329,22.40103,8.0,8.179805,0.24245828101833236
"E7","EAC",360.0,6.494059,17.54645,0.0,502.3415,19.80155,17.0,7.368813,-0.0233897238099852
"E8","EAC",295.8333,6.585803,20.22658,0.0,453.3915,18.23226,5.0,7.165009,-0.28743012727290734
"E9","EAC",285.0,5.312702,29.47156,5.0,216.1569,21.74192,85.0,6.879586,0.10465553149115005
"E10","EAC",301.2017,6.61441,21.64569,30.0,537.3799,21.27863,12.0,7.549439,0.3496472755950925
"E11","EAC",293.2571,5.221126,20.77606,1.0,458.84,19.00286,9.0,5.855166,-0.2000191491181372
"E12","EAC",146.3334,6.903047,25.37409,0.0,478.7985,20.46395,11.0,7.088965,-0.2953491005984093
