"Sujeito","Grupo","Velocidade (2)","Nado errático (2)","Tempo no claro","Congelamento (2)","Tempo no fundo","Nado errático","Congelamento","Velocidade"
"A1 AS","CAS",10.12417,18.6546,186.4737,91.0,347.772762,70.020609,84.0,11.041245
"A2 AS","CAS",9.532995,25.10306,48.5471,10.0,334.8261,43.113052,78.0,5.296694
"A3 AS","CAS",6.060626,19.41898,367.9414,139.0,339.104507,47.805431,77.0,8.959789
"A4 AS","CAS",5.280582,14.58339,142.5374,197.0,345.32,44.469096,71.0,13.28703
"A5 AS","CAS",13.19045,19.87526,82.25614,19.0,345.189037,59.012166,80.0,10.520674
"A6 AS","CAS",10.62784,19.77722,181.0751,14.0,349.204866,47.750614,94.0,2.274539
"A7 AS","CAS",9.359404,0.938,0.933,314.0,353.898289,38.550472,66.0,9.571758
"A8 AS","CAS",0.281,0.990159,107.8007,55.0,360.0,40.941977,62.0,7.071913
"A9 AS","CAS",7.554785,15.87055,46.52128,60.0,350.162365,20.40429,87.0,5.181375
"A10 AS","CAS",5.541623,0.821274,132.0163,8.0,354.215378,40.770363,70.0,8.701648
"A11 AS","CAS",7.719813,0.768422,147.4779,90.0,348.944403,41.907588,64.0,5.824138
"A12 AS","CAS",10.76101,0.79679,336.1739,45.0,351.670668,31.285254,65.0,18.843189
"B1 ","CONTROLE",3.790348,19.74924,243.7029,7.0,219.6799,19.640257,12.0,6.1971257
"B2","CONTROLE",17.79819,0.609629,248.2227,40.0,271.2942,21.037454,9.0,3.37409642063492
"B3","CONTROLE",18.88763,26.06884,431.518,51.0,65.9975,21.660221,8.0,2.08167084969325
"B4","CONTROLE",14.9123,27.52627,793.2532,69.0,185.0982,10.360021,11.0,3.89885697902098
"B5","CONTROLE",12.33292,28.44462,944.5966,39.0,256.7764,9.649363,19.0,12.86236645744681
"B6","CONTROLE",15.12012,19.29808,181.0751,174.0,164.7825,15.481266,17.0,16.4572995
"B7","CONTROLE",8.101286,0.767772,20.5398,281.0,268.0166,16.257991,14.0,8.8770968
"B8","CONTROLE",16.6265,0.928182,24.22375,122.0,249.0409,22.189159,12.0,0.6185783
"B9","CONTROLE",9.925998,20.76016,24.60196,110.0,224.7845,21.772644,9.0,5.1906791
"B10","CONTROLE",7.719813,0.768422,147.4779,202.0,234.177,6.383132,7.0,11.52643340449438
"B11","CONTROLE",12.62091,16.11763,73.64194,47.0,218.4719,22.7845,10.0,2.6426818
"B12","CONTROLE",12.79886,0.797907,192.5556,95.0,227.884,22.951721,7.0,6.79317384969325
