"Sujeito","Grupo","Tempo no fundo","Nado errático","Congelamento","Velocidade","Tempo no branco","Nado errático (2)","Congelamento (2)","Velocidade (2)"
"C1","CTRL",273.4,27.46331,0.0,8.424091,379.02,22.75076,91.0,8.251637
"C2","CTRL",130.8167,26.65252,0.0,7.539382,123.533,20.52207,10.0,6.598541
"C3","CTRL",207.9214,27.16452,0.0,7.059688,214.1326,21.06569,139.0,12.30835
"C4","CTRL",343.1115,18.48919,6.0,12.13933,160.9001,23.28198,197.0,15.55857
"C5","CTRL",271.4452,36.22533,0.0,6.444614,545.913,21.77355,19.0,7.705553
"C6","CTRL",276.0374,28.5228,0.0,7.767025,502.3885,21.8394,14.0,8.109019
"C7","CTRL",321.9042,19.77266,30.0,4.286086,71.45632,4.269373,314.0,0.628645
"C8","CTRL",321.3161,22.64067,0.0,7.526438,92.22234,17.60066,55.0,10.96907
"C9","CTRL",306.2769,25.36196,0.0,6.950952,581.83137,20.58661,60.0,10.19874
"C10","CTRL",151.2974,24.02231,0.0,6.984662,267.8746,22.11502,8.0,7.87045
"C11","CTRL",143.4451,24.52807,0.0,7.261932,403.4627,21.56368,90.0,12.70388
"C12","CTRL",289.936,23.61649,0.0,8.373204,297.5019,21.48635,45.0,13.33671
"AM1","NH4",324.8792,23.85284,7.0,3.778183,381.4584,19.49924,7.0,10.38179
"AM2","NH4",85.03315,16.12059,2.0,6.102659,144.1522,23.75329,40.0,30.32529
"AM3","NH4",285.0,22.43659,3.0,2.772295,411.4904,15.90878,51.0,4.36207
"AM4","NH4",201.0046,23.07004,0.0,8.956693,174.2774,22.06946,69.0,17.62866
"AM5","NH4",352.25,20.33388,0.0,7.98857,97.3308,21.38011,39.0,9.631827
"AM6","NH4",292.2666,53.90691,0.0,7.932365,424.3817,20.0903,174.0,10.25197
"AM7","NH4",347.3916,23.11587,29.0,3.694877,50.91268,15.60848,281.0,5.789715
"AM8","NH4",332.1454,19.4408,0.0,6.788333,382.2936,20.65903,122.0,8.071732
"AM9","NH4",306.6841,28.87949,0.0,7.802684,219.0387,18.02087,110.0,7.570513
"AM10","NH4",330.3846,8.629346,153.0,1.697983,21.03715,10.03639,202.0,0.979513
"AM11","NH4",99.514228,24.69855,1.0,7.325038,389.938,20.35239,47.0,9.529968
"AM12","NH4",167.9552,20.94064,0.0,5.409143,694.488,18.22662,95.0,3.273035
