Subject,Group,TimeWhite,AbsoluteTurnAngleLDT,Freezing,SpeedLDT,TimeBottom,TimeTop,AbsoluteTurnAngleNTT,FreezingNTT,SpeedNTT
F01,CTRL,393.02609,17.7880143,15,9.163178175,34.466667,282.766664,25.28499772,7,6.884636911
F02,CTRL,126.199999,13.98667088,11,7.961229262,339.793546,20.206454,25.35074669,2,7.190807747
F03,CTRL,130.466668,21.40703037,10,7.675034605,336.320514,48.971795,32.97765999,2,8.338763829
F04,CTRL,375.233339,20.30873392,3,5.491926805,270.066663,63.387179,25.06881719,1,5.721395411
F05,CTRL,533.333333,17.82455875,5,5.09931135,358.866667,1.133333,14.18455022,5,4.644138643
F06,CTRL,213.09885,18.26991674,6,6.281763593,132.011496,90.79425,30.59447724,8,7.78613005
F07,CTRL,433.533336,19.62427371,4,7.403991556,73.937932,49.399998,21.81640157,3,6.642712584
F08,CTRL,334.7,13.6176848,7,4.738129201,360,0,26.08551596,2,3.644122247
F09,CTRL,457.06129,18.17006737,4,5.676846608,43.733334,255.036429,27.19078837,11,6.1987141
F10,CTRL,31.740231,12.75386021,13,5.832219586,80.654112,120.689655,23.36688211,4,6.295260044
F11,CTRL,386.933334,18.60932886,31,2.323834398,276.533333,73.902565,16.36953842,4,3.666757223
F12,CTRL,154.16667,10.37899042,15,6.092597094,121.041376,44.067751,22.62286932,1,6.555816413
F13,CTRL,348.600002,19.79904698,2,7.962864592,102.145056,90.23908,25.62194323,0,7.324024633
F14,CTRL,80.335634,19.84862957,10,5.54712897,203.799999,28.533333,24.51347362,3,5.744186419
F15,CTRL,664.966668,20.28410659,4,6.201180367,171.147122,83.002148,23.03227619,2,6.458478623
F16,CTRL,263.466662,21.63983694,7,7.087549668,107.901151,140.572267,19.10031683,7,7.147362764
F17,CTRL,140.899998,20.59367231,5,7.276596161,128.313796,119.354733,27.37637433,2,5.604564951
F18,CTRL,207.299999,19.81941385,10,10.75837864,168.943678,93.82962,26.18677595,1,6.897191781
F19,CTRL,80.366667,17.44108634,24,12.46162565,128.661363,105.680106,22.61971146,0,8.842776083
F20,CTRL,546.100003,18.50635865,7,5.398045236,346.80513,13.19487,26.21417514,4,6.915668061
G1,UCS,26.033332,21.2544104,2,3.376917896,360,0,13.63007142,11,2.997890543
G2,UCS,201.790324,21.16598369,2,7.43330771,355.033334,4.966666,18.38937489,0,6.099921412
G3,UCS,,,,,352.433333,7.566667,32.74142266,0,9.684481006
G4,UCS,48.081609,20.08364063,5,6.488064048,355.333334,4.666666,18.11482022,28,6.880434912
G5,UCS,28.466668,21.53124019,14,4.293504623,356.615385,3.384615,15.80631535,6,4.926680914
G6,UCS,310.722989,22.34353863,7,7.397102942,301.624133,12.928205,29.48739717,10,8.536678874
G7,UCS,108.860918,19.95526147,6,7.392806245,359.461538,0.538462,25.61194708,4,7.815106776
G8,UCS,24.1,19.38530415,5,10.94247982,355.630769,4.369231,31.00300356,25,8.222796141
G9,UCS,267.266664,19.62223202,10,5.57298552,304.673562,5.41282,24.57365413,8,7.979680054
G10,UCS,156.800002,17.17258988,199,4.219759624,356.382052,3.617948,12.59850051,29,4.685827779
G11,UCS,39.966667,21.56823506,18,12.54616687,357.887179,2.112821,20.18570424,0,4.944312865
G12,UCS,12.54616687,20.6526396,42,3.108133577,358.910256,1.089744,17.53834276,18,3.537744896
G13,UCS,334.033335,19.67815435,6,2.779128154,360,0,23.95061977,1,2.767752268
G14,UCS,339.065516,19.06246982,2,5.46535947,360,0,26.02249676,2,4.04025117
G15,UCS,385.733334,21.82729106,6,4.142352566,359.384615,0.615385,22.89735697,1,4.189136613
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
